,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
0,wa,,master,,0.0,1000.0,0.0,personal auto,four-door car,2.7
1,az,f,bachelor,6979.54,0.0,94.0,0.0,personal auto,four-door car,1131.46
2,nv,f,bachelor,12887.43,48767.0,108.0,0.0,personal auto,two-door car,566.47
3,ca,m,bachelor,7645.86,0.0,106.0,0.0,corporate auto,suv,529.88
4,wa,m,high school or below,5363.08,36357.0,68.0,0.0,personal auto,four-door car,17.27
5,or,f,bachelor,8256.3,62902.0,69.0,0.0,personal auto,two-door car,159.38
6,or,f,college,5380.9,55350.0,67.0,0.0,corporate auto,four-door car,321.6
7,az,m,master,7216.1,0.0,101.0,0.0,corporate auto,four-door car,363.03
8,or,m,bachelor,24127.5,14072.0,71.0,0.0,corporate auto,four-door car,511.2
9,or,f,college,7388.18,28812.0,93.0,0.0,special auto,four-door car,425.53
10,ca,m,college,4738.99,0.0,67.0,0.0,personal auto,four-door car,482.4
11,ca,,college,8197.2,0.0,110.0,0.0,personal auto,suv,528.0
12,ca,,master,8798.8,77026.0,110.0,2.0,corporate auto,four-door car,472.03
13,az,,high school or below,8819.02,99845.0,110.0,1.0,corporate auto,suv,528.0
14,ca,,college,5384.43,83689.0,70.0,2.0,corporate auto,four-door car,307.14
15,or,,bachelor,7463.14,24599.0,64.0,1.0,corporate auto,four-door car,42.92
16,nv,,high school or below,2566.87,25049.0,67.0,0.0,personal auto,two-door car,454.25
17,ca,,college,3945.24,28855.0,101.0,0.0,personal auto,suv,647.44
18,or,,college,5710.33,51148.0,72.0,0.0,personal auto,four-door car,308.98
19,ca,,high school or below,8162.62,66140.0,101.0,0.0,corporate auto,four-door car,484.8
20,or,,high school or below,2872.05,57749.0,74.0,0.0,personal auto,two-door car,355.2
21,wa,m,bachelors,6177.11,61040.0,79.0,1.0,personal auto,two-door car,20.38
22,az,,bachelor,24127.5,14072.0,71.0,0.0,personal auto,four-door car,511.2
23,nv,,bachelor,2450.19,0.0,73.0,3.0,corporate auto,four-door car,554.38
24,ca,,bachelor,2392.11,17870.0,61.0,0.0,corporate auto,four-door car,439.2
25,or,,college,5802.07,97541.0,72.0,0.0,personal auto,four-door car,389.19
26,ca,,bachelor,3946.37,0.0,111.0,0.0,personal auto,four-door car,799.2
