,region,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
0,east,,master,1855.9,37823.32,1000.0,0.0,personal auto,four-door car,2.7
1,central,f,bachelor,6979.54,37823.32,94.0,0.0,personal auto,four-door car,1131.46
2,central,f,bachelor,12887.43,48767.0,108.0,0.0,personal auto,two-door car,566.47
3,west region,m,bachelor,7645.86,37823.32,106.0,0.0,corporate auto,suv,529.88
4,east,m,high school or below,5363.08,36357.0,68.0,0.0,personal auto,four-door car,17.27
5,north west,f,bachelor,8256.3,62902.0,69.0,0.0,personal auto,two-door car,159.38
6,north west,f,college,5380.9,55350.0,67.0,0.0,corporate auto,four-door car,321.6
7,central,m,master,7216.1,37823.32,101.0,0.0,corporate auto,four-door car,363.03
8,north west,m,bachelor,24127.5,14072.0,71.0,0.0,corporate auto,four-door car,511.2
9,north west,f,college,7388.18,28812.0,93.0,0.0,special auto,four-door car,425.53
10,west region,m,college,4738.99,37823.32,67.0,0.0,personal auto,four-door car,482.4
11,west region,,college,8197.2,37823.32,110.0,0.0,personal auto,suv,528.0
12,west region,,master,8798.8,77026.0,110.0,2.0,corporate auto,four-door car,472.03
13,central,,high school or below,8819.02,99845.0,110.0,1.0,corporate auto,suv,528.0
14,west region,,college,5384.43,83689.0,70.0,2.0,corporate auto,four-door car,307.14
15,north west,,bachelor,7463.14,24599.0,64.0,1.0,corporate auto,four-door car,42.92
16,central,,high school or below,2566.87,25049.0,67.0,0.0,personal auto,two-door car,454.25
17,west region,,college,3945.24,28855.0,101.0,0.0,personal auto,suv,647.44
18,north west,,college,5710.33,51148.0,72.0,0.0,personal auto,four-door car,308.98
19,west region,,high school or below,8162.62,66140.0,101.0,0.0,corporate auto,four-door car,484.8
20,north west,,high school or below,2872.05,57749.0,74.0,0.0,personal auto,two-door car,355.2
21,east,m,bachelors,6177.11,61040.0,79.0,1.0,personal auto,two-door car,20.38
22,central,,bachelor,24127.5,14072.0,71.0,0.0,personal auto,four-door car,511.2
23,central,,bachelor,2450.19,37823.32,73.0,3.0,corporate auto,four-door car,554.38
24,west region,,bachelor,2392.11,17870.0,61.0,0.0,corporate auto,four-door car,439.2
25,north west,,college,5802.07,97541.0,72.0,0.0,personal auto,four-door car,389.19
26,west region,,bachelor,3946.37,37823.32,111.0,0.0,personal auto,four-door car,799.2
27,east,m,college,9162.06,29723.0,80.0,0.0,personal auto,four-door car,20.99
28,central,,college,12902.56,86584.0,111.0,2.0,personal auto,four-door car,532.8
29,north west,,master,3235.36,75690.0,80.0,1.0,personal auto,four-door car,384.0
30,central,,college,2454.58,23158.0,63.0,1.0,personal auto,four-door car,322.29
31,central,,high school or below,18975.46,65999.0,237.0,0.0,corporate auto,luxury suv,615.93
32,west region,,bachelor,4715.32,37823.32,65.0,0.0,personal auto,four-door car,308.15
33,east,f,college,4737.87,37823.32,130.0,0.0,personal auto,suv,23.82
34,north west,,bachelor,4932.92,37260.0,62.0,0.0,corporate auto,four-door car,15.44
35,central,,high school or below,5744.23,68987.0,71.0,0.0,personal auto,four-door car,204.48
36,west region,,bachelor,13891.74,42305.0,117.0,0.0,personal auto,four-door car,561.6
37,north west,,master,7380.98,65706.0,91.0,0.0,personal auto,four-door car,436.8
38,north west,,bachelor,3090.03,37823.32,90.0,0.0,personal auto,two-door car,648.0
39,central,,high school or below,2521.63,53243.0,66.0,2.0,personal auto,four-door car,157.4
40,central,,high school or below,2652.06,37823.32,70.0,1.0,corporate auto,two-door car,484.32
41,north west,,college,2771.05,50071.0,71.0,0.0,corporate auto,two-door car,18.92
42,west region,,bachelor,3939.01,60021.0,99.0,0.0,personal auto,four-door car,882.87
43,central,,high school or below,12231.88,43244.0,103.0,0.0,personal auto,sports car,494.4
44,east,m,doctor,4951.66,46896.0,35354.0,1.0,personal auto,four-door car,31.71
45,north west,,doctor,12819.1,10105.0,172.0,3.0,personal auto,suv,0.52
46,central,,bachelor,4468.51,37823.32,73.0,3.0,personal auto,four-door car,579.17
47,north west,,high school or below,5514.34,23218.0,71.0,0.0,personal auto,two-door car,447.79
48,west region,,bachelor,3343.88,37823.32,92.0,0.0,corporate auto,four-door car,529.62
49,central,,high school or below,2294.48,37823.32,62.0,0.0,personal auto,four-door car,313.02
50,north west,,college,36707.43,24804.0,104.0,0.0,personal auto,suv,593.83
51,west region,,bachelor,33473.35,33190.0,106.0,0.0,corporate auto,suv,508.8
52,central,,high school or below,7983.43,36014.0,69.0,3.0,special auto,four-door car,173.96
53,east,f,master,4879.38,67163.0,61.0,2.0,personal auto,two-door car,33.19
54,west region,,bachelor,4294.0,16701.0,113.0,0.0,personal auto,four-door car,831.63
55,central,,college,7164.4,46623.0,91.0,0.0,corporate auto,four-door car,436.8
56,west region,,college,7619.52,64749.0,64.0,0.0,special auto,four-door car,302.57
57,central,,high school or below,3958.0,37823.32,101.0,0.0,personal auto,suv,484.8
58,north west,,high school or below,4499.49,16969.0,124.0,2.0,personal auto,suv,704.77
59,north west,,master,4059.57,11621.0,108.0,0.0,personal auto,four-door car,518.4
60,central,,bachelor,4458.11,17622.0,65.0,1.0,personal auto,four-door car,312.0
61,west region,,bachelor,8110.33,11489.0,105.0,0.0,personal auto,two-door car,504.0
62,north west,,bachelor,3339.76,37823.32,94.0,0.0,personal auto,two-door car,863.33
63,west region,,high school or below,24261.02,66525.0,100.0,0.0,personal auto,suv,104.33
64,central,,bachelor,6613.97,37823.32,63.0,0.0,personal auto,four-door car,676.39
65,east,,college,2930.69,33663.0,73.0,0.0,personal auto,four-door car,350.4
66,north west,,college,8672.19,22547.0,112.0,0.0,corporate auto,suv,537.6
67,central,,high school or below,11638.67,61486.0,97.0,0.0,personal auto,two-door car,465.26
68,north west,,bachelor,6846.15,37823.32,95.0,0.0,personal auto,two-door car,456.0
69,west region,,college,11727.78,29879.0,102.0,0.0,personal auto,four-door car,500.25
70,north west,,high school or below,22643.83,93011.0,113.0,0.0,personal auto,suv,281.45
71,north west,,master,2614.47,65186.0,65.0,0.0,personal auto,two-door car,5.43
72,north west,,master,2451.75,26840.0,64.0,2.0,personal auto,four-door car,307.2
73,north west,,bachelor,6781.27,37823.32,104.0,1.0,personal auto,sports car,982.4
74,north west,,bachelor,4974.8,75644.0,65.0,3.0,personal auto,two-door car,467.8
75,north west,,bachelor,8591.6,38984.0,73.0,0.0,personal auto,four-door car,350.4
76,north west,,high school or below,5592.16,71811.0,71.0,0.0,personal auto,four-door car,29.03
77,central,,college,8009.47,20961.0,67.0,0.0,personal auto,four-door car,321.6
78,east,f,master,1855.9,41275.0,96.0,0.0,personal auto,four-door car,41.12
79,west region,,bachelor,58166.55,61321.0,186.0,1.0,personal auto,luxury car,427.63
80,west region,,college,8025.23,37823.32,77.0,0.0,personal auto,two-door car,25.81
81,west region,,high school or below,5780.18,51066.0,74.0,0.0,personal auto,four-door car,787.99
82,west region,,doctor,4118.54,34378.0,102.0,0.0,personal auto,suv,489.6
83,central,,master,2523.07,43072.0,63.0,0.0,personal auto,four-door car,302.4
84,north west,,college,6554.22,25222.0,90.0,0.0,personal auto,four-door car,475.62
85,east,f,bachelor,5382.75,77552.0,68.0,1.0,corporate auto,four-door car,45.22
86,west region,,college,5926.73,23091.0,96.0,5.0,personal auto,four-door car,460.8
87,west region,,bachelor,2683.47,48269.0,69.0,3.0,corporate auto,four-door car,282.15
88,north west,,bachelor,2695.18,32720.0,67.0,0.0,personal auto,four-door car,321.6
89,west region,,college,6047.03,20396.0,76.0,1.0,personal auto,four-door car,364.8
90,north west,,college,13171.01,21513.0,119.0,1.0,personal auto,two-door car,679.83
91,east,f,college,15950.02,37823.32,87.0,1.0,personal auto,two-door car,46.04
92,north west,,bachelor,2527.65,80744.0,63.0,0.0,corporate auto,four-door car,11.88
93,north west,,bachelor,2672.1,52822.0,67.0,0.0,corporate auto,two-door car,350.53
94,west region,,high school or below,5313.29,37823.32,77.0,1.0,personal auto,four-door car,863.39
95,north west,,bachelor,20946.19,69738.0,74.0,1.0,personal auto,four-door car,492.13
96,central,,master,8375.35,17780.0,109.0,0.0,personal auto,suv,132.59
97,west region,,bachelor,4801.66,18107.0,62.0,0.0,personal auto,four-door car,297.6
98,central,,bachelor,5745.94,57740.0,74.0,3.0,personal auto,four-door car,269.91
99,north west,,college,6066.12,32627.0,76.0,0.0,personal auto,two-door car,380.04
100,west region,,college,8002.31,37823.32,107.0,0.0,personal auto,suv,513.6
101,west region,,college,2393.92,37823.32,70.0,0.0,personal auto,four-door car,425.27
102,north west,,bachelor,4762.82,65795.0,62.0,1.0,corporate auto,two-door car,49.01
