danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song_title,explicit,popularity
0.438,0.188,-16.355,0.036,0.994,0.905,0.111,0.181,79.393,3XAIVxLS42fJHNWrkbn0SM,225977,['Notepad Music'],Waltz C Sharp Minor Op. 64 No. 2,FALSE,0
0.683,0.634,-4.532,0.0377,0.614,0,0.0853,0.546,120.026,31QR935rFUPlondTVPvSpk,307129,"['Artistas Unidos', 'soria records']","Cochabamba, Mi Hermosa Ciudad",FALSE,0
0.621,0.86,-7.78,0.0491,0.749,0,0.0771,0.708,120.395,1ToBT0RwZlcNRwveJ6AQmy,201987,['Soldatenchor Ginsberger Heide'],Märkische Heide,FALSE,17
0.257,0.807,-6.287,0.0621,9.25E-06,0.943,0.222,0.629,137.165,7lIZR0JtYJLrkXqpRtpX3U,148027,"['Isobel Campbell', 'Mark Lanegan']",Hawk,FALSE,17
0.434,0.543,-6.016,0.0278,0.0526,0.676,0.168,0.344,203.873,53d94Fd3wlD3UboSm2fAGu,129437,['Day Bit'],got a lot to do,FALSE,0
0.493,0.697,-11.144,0.05,0.00694,0.00396,0.18,0.79,141.587,1OO4np3zmnmyp9FCVX03dK,187382,['Long Tall Ernie & The Shakers'],Kiss Me Baby,FALSE,7
0.848,0.393,-11.878,0.0512,0.677,0.00141,0.117,0.426,124.022,4e7xKz1L43jWSSP7dwdOqY,154972,['Night Lovell'],BUMBLE BEE,TRUE,59
0.935,0.398,-10.164,0.127,0.0727,0.00636,0.0619,0.652,95.03,7yjM3dks21Kgvzu76A58YN,145773,['The Encouragement Kid'],Peace in This Mo,FALSE,2
0.757,0.918,-3.33,0.0791,0.00507,0.0284,0.0625,0.797,123.003,7DPYlEU3tY0bFNK2gii9fi,277073,"['Crazibiza', 'Zsak', 'Victoria Richard']",Get Funky,FALSE,28
0.801,0.783,-4.193,0.327,0.244,0,0.0902,0.695,94.648,6motja4C4U6oCgtojBTyCI,144000,['HoodCelebrityy'],Run Di Road,FALSE,48
0.374,0.147,-12.798,0.0346,0.933,1.07E-05,0.245,0.359,77.45,7vQGAUF6LDqyQ4lDRwZCWa,256711,['Charity Children'],Give Us the Pleasure That Comes with Sleep Then,FALSE,3
0.672,0.793,-5.973,0.0414,0.00509,0.0192,0.16,0.946,129.915,2MXmDDnh2RWzfWINMsFgNA,80453,['Cheese People'],Wake Up,TRUE,63
0.713,0.676,-5.483,0.027,0.0377,0,0.154,0.721,99.048,5zFglKYiknIxks8geR8rcL,227395,"['Maroon 5', 'Megan Thee Stallion']",Beautiful Mistakes (feat. Megan Thee Stallion),FALSE,84
0.496,0.769,-2.695,0.327,0.0104,0,0.112,0.124,139.517,0a3Ate4GM8CsHuybAYNcga,137147,['Detonation_on_the_beat'],Look at Me - Remix,TRUE,36
0.236,0.257,-15.503,0.0339,0.816,0.951,0.183,0.0648,81.528,3C0zc2g7XS4bL0w6BRM0j7,160762,['John Robert Matz'],The Burning Forest,FALSE,9
0.699,0.906,-8.396,0.058,0.00253,0.884,0.0738,0.096,142.994,76pmSaEKGN9XuprqbB1KLt,297103,['Antidota'],Deep Breath,FALSE,13
0.576,0.863,-4.245,0.0491,0.000457,0.000593,0.0763,0.4,95.081,5pxL3QTr6OBveQbHcG3nYa,184253,['In Flames'],Siren Charms,FALSE,33
0.392,0.501,-9.01,0.0437,0.982,0.874,0.238,0.322,113.782,5GUsyumrjcsMiRjYQiG9MQ,779587,"['Gustav Mahler', 'Orchestra Sinfonica Di Torino Della Rai', 'Sir John Barbirolli']",Symphony No. 9 in D Major: III. Rondo-Burleske. Allegro assai. Sehr trotzig (Live),FALSE,1
0.309,0.947,-2.896,0.0659,0.0711,0.000368,0.334,0.138,144.802,0FjfgKo2ZOTK5Shz59qHeP,238748,['Accursed Ordnance'],Persist Past Altar of Darkness,FALSE,0
