,0
0,mbira
1,minimal techno
2,german house
3,dark techno
4,modern alternative rock
5,jazz saxophone
6,none
7,chill r&b
8,dance-punk
9,none
10,persian neo-traditional
11,vapor twitch
12,motown
13,none
14,electra
15,none
16,none
17,australian rock
18,none
19,disco
20,trip hop
21,none
22,dance pop
23,pop
24,brill building pop
25,microhouse
26,post-disco
27,classic rock
28,progressive trance house
29,none
30,indie soul
31,organic house
32,none
33,none
34,mellow gold
35,techno
36,electro house
37,none
38,classical
39,post-romantic era
40,modern rock
41,house
42,hip hop
43,traprun
44,tape club
45,contemporary r&b
46,escape room
47,swedish jazz
48,none
49,brill building pop
50,none
51,british jazz
52,scottish indie
53,none
54,detroit techno
55,puglia indie
56,none
57,none
58,none
59,downtempo
60,funk
61,album rock
62,doo-wop
63,classic rock
64,none
65,neo r&b
66,none
67,modern rock
68,indie soul
69,filmi
70,none
71,iranian experimental
72,none
73,champeta
74,corridos tumbados
75,none
76,japanese piano
77,big band
78,none
79,none
80,new wave pop
81,turkish psych
82,ethiopian pop
83,none
84,classical
85,hip hop
86,none
87,chamber psych
88,japanese math rock
89,none
90,quiet storm
91,mariachi
92,libyan pop
93,chinese jazz
94,rap
95,dancefloor dnb
96,country
97,none
98,minimal techno
99,reggaeton
100,indie hip hop
101,none
102,electro house
103,none
104,none
105,queens hip hop
106,australian rock
107,none
108,none
109,boogie
110,pop dance
111,cyberpunk
112,microhouse
113,lo-fi beats
114,funk
115,none
116,none
117,oberkrainer
118,dance pop
119,liquid funk
120,none
121,neo r&b
122,none
123,none
124,none
125,none
126,none
127,indie soul
128,none
129,none
130,classic uk pop
131,nyhc
132,none
133,electroclash
134,none
135,none
136,none
137,none
138,mellow gold
139,psychedelic folk
140,lo-fi beats
141,vapor soul
142,alternative rock
143,future bass
144,psychedelic folk rock
145,drum and bass
146,none
147,none
148,liquid funk
149,electro
150,uk dance
151,none
152,doo-wop
153,southern soul
154,english renaissance
155,candy pop
156,hardcore hip hop
157,rap
158,none
159,doo-wop
160,none
161,grime
162,none
163,stateside dnb
164,metropopolis
165,norwegian pop
166,none
167,pop rock
168,indie rock
169,country
170,australian r&b
171,none
172,uk contemporary jazz
173,none
174,belgian edm
175,none
176,none
177,hip hop
178,vintage chinese pop
179,new romantic
180,progressive trance
181,glam metal
182,garage psych
183,float house
184,none
185,none
186,none
187,none
188,none
189,none
190,none
191,none
192,none
193,none
194,none
195,none
196,none
197,none
198,none
199,none
