danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song_title,explicit,popularity
0.653,0.816,-4.353,0.167,0.228,0.0,0.0967,0.816,178.085,6rPO02ozF3bM7NnOV4h6s2,228827,"[['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']]",Despacito - Remix,False,73
0.774,0.687,-4.818,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,4ipnJyDU3Lq15qBAYNqlqK,189440,"[['J Balvin', 'Willy William']]",Mi Gente,False,71
0.656,0.877,-3.231,0.0342,0.345,0.0,0.349,0.894,105.018,3QHMxEOAGD51PDlbFPHLyJ,252347,[['Marc Anthony']],Vivir Mi Vida,False,76
0.723,0.777,-3.503,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,32lm3769IRfcnrQV11LO4E,243413,"[['Enrique Iglesias', 'Descemer Bueno', 'Gente De Zona']]",Bailando - Spanish Version,False,69
0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773,"[['Don Omar', 'Lucenzo']]",Danza Kuduro,False,78
0.816,0.726,-3.998,0.129,0.099,0.0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390,"[['Cardi B', 'Bad Bunny', 'J Balvin']]",I Like It,True,80
0.817,0.539,-6.349,0.0621,0.0141,0.000496,0.099,0.158,97.062,116H0KvKr2Zl4RPuVBruDO,210368,"[['Bad Bunny', 'Drake']]",MIA (feat. Drake),False,79
0.757,0.632,-6.83,0.0549,0.499,0.0,0.0723,0.742,122.936,5PycBIeabfvX3n9ILG7Vrv,235133,[['Romeo Santos']],Propuesta Indecente,False,77
0.791,0.745,-3.695,0.0464,0.354,2.93e-05,0.104,0.82,94.014,2ijef6ni2amuunRoKTlgww,188560,"[['Becky G', 'Natti Natasha']]",Sin Pijama,False,70
0.761,0.829,-3.203,0.0682,0.169,0.0,0.189,0.814,92.034,5Uel5PmPBZICA0TQTI912U,252003,"[['IAmChino', 'Pitbull', 'Yandel', 'El Chacal']]",Ay Mi Dios,False,72
0.616,0.989,-1.698,0.0483,0.166,0.0,0.172,0.902,95.036,0OMRAvrtLWE2TvcXorRiB9,203160,"[['Gente De Zona', 'Marc Anthony']]",La Gozadera (feat. Marc Anthony),False,75
0.746,0.794,-6.331,0.0698,0.0258,0.0,0.0497,0.447,104.827,6Zosz8w6CmdGMZM6p4JlbQ,205741,[['Danny Ocean']],Me Rehúso,False,0
0.775,0.679,-4.985,0.0465,0.147,0.0,0.155,0.674,91.0,4Ft0391aLVNtCPPseh98lp,229387,[['Sebastian Yatra']],Traicionera,False,73
0.739,0.821,-4.233,0.0852,0.222,9.6e-06,0.311,0.693,171.077,1m69ELEgE6k5ZWsap40ozt,188080,[['Ozuna']],Se Preparó,False,75
0.735,0.881,-3.339,0.0894,0.239,1.21e-05,0.11,0.915,90.009,2oJH69cuNyWpCmZyTmvrEN,285333,"[['Don Omar', 'Natti Natasha']]",Dutty Love,False,70
0.761,0.838,-3.073,0.0502,0.4,0.0,0.176,0.71,93.974,3AEZUABDXNtecAOSC1qTfo,222560,[['CNCO']],Reggaetón Lento (Bailemos),False,73
0.671,0.954,-1.87,0.13,0.0244,0.0,0.111,0.556,104.114,23WI5V2eD4EyGKxSl7Pyeq,247493,"[['Chino & Nacho', 'Daddy Yankee']]",Andas En Mi Cabeza,False,75
0.757,0.711,-4.643,0.0349,0.36,0.0,0.121,0.817,139.962,6cJLfIqwh0tCKRjYM3WpZ5,206933,[['Prince Royce']],Darte un Beso,False,71
0.662,0.874,-4.509,0.0471,0.147,0.0,0.141,0.926,169.943,7LABrQFfRYcZUqUwng0Heb,240093,[['Yandel']],Encantadora,False,68
0.61,0.624,-4.773,0.309,0.6,2.12e-06,0.243,0.244,176.169,2TH65lNHgvLxCKXM3apjxI,250534,"[['Bad Bunny', 'Tainy']]",Callaita,True,81
0.788,0.477,-7.348,0.0434,0.549,0.0,0.349,0.86,94.983,5jf0PmPCHefQ78uAzqIqbj,213027,[['Manuel Turizo']],Una Lady Como Tú,False,68
0.769,0.838,-5.238,0.0633,0.16,0.0,0.0935,0.602,93.996,0VKkyBKCXyR99navhVRqcP,249609,[['Zion & Lennox']],La player (Bandolera),False,71
0.69,0.902,-4.269,0.0407,0.112,0.0,0.175,0.786,92.988,7lOzUJzsELALh5FQsPKTEn,225987,[['Chayanne']],Humanos a Marte,False,69
0.736,0.964,-2.147,0.129,0.198,2.32e-06,0.336,0.953,179.935,0sXvAOmXgjR2QUqLK1MltU,227707,"[['Carlos Vives', 'Shakira']]",La Bicicleta,False,60
0.743,0.855,-3.976,0.0436,0.141,0.0045,0.099,0.871,96.989,7JNh1cfm0eXjqFVOzKLyau,202453,"[['Becky G', 'Bad Bunny']]",Mayores,False,66
0.709,0.771,-4.598,0.166,0.146,3.29e-06,0.249,0.709,174.006,0s5DNDV6LAKn2u2Ufa3VjQ,204453,"[['Mau y Ricky', 'Manuel Turizo', 'Camilo']]",Desconocidos,True,65
0.602,0.398,-9.503,0.104,0.807,0.0,0.703,0.603,126.285,2UypFzxfaYgMUnQX2k4qtj,305120,"[['Pepe Aguilar', 'Melissa Robles', 'Ángela Aguilar', 'La Marisoul']]",Prometiste,False,72
0.789,0.518,-5.417,0.0406,0.398,0.0,0.0891,0.78,94.001,63USmok1OioBzKuWGW9wAg,266213,"[['Los Ángeles Azules', 'Natalia Lafourcade']]",Nunca Es Suficiente,False,67
0.619,0.452,-5.449,0.028,0.502,0.0,0.122,0.174,131.981,0lPXFrKyl8HkdQ2E6NmNja,204173,[['Reik']],Ya Me Enteré,False,75
0.827,0.646,-4.727,0.0766,0.0724,0.0,0.247,0.512,92.057,1lxswgIpzV6HhENRvkflES,197840,"[['Farruko', 'Ky-Mani Marley']]",Chillax (feat. Ky-Mani Marley),False,69
0.681,0.788,-4.323,0.0785,0.0482,0.0,0.0753,0.839,170.019,1j6xOGusnyXq3l6IryKF3G,220117,"[['Piso 21', 'Manuel Turizo']]",Déjala Que Vuelva (feat. Manuel Turizo),False,72
0.786,0.917,-5.073,0.0603,0.223,1.61e-05,0.0918,0.965,132.028,46rpPDrZYr5IrW2i4uLkHt,193493,"[['3BallMTY', 'América Sierra', 'El Bebeto']]",Inténtalo,False,0
0.766,0.756,-5.861,0.132,0.213,0.0,0.349,0.716,94.027,1RouRzlg8OKFeqc6LvdxmB,230000,[['Maluma']],Felices los 4,False,74
0.725,0.903,-2.955,0.0658,0.0344,0.0,0.183,0.946,142.006,00i0O74dXdaKKdCrqHnfXm,211680,"[['Ricky Martin', 'Yotuel']]",La Mordidita (feat. Yotuel),False,70
0.773,0.757,-4.959,0.0526,0.0864,3.73e-06,0.0727,0.858,88.006,5u5MvmVtitax9R1Mxh3reC,226520,[['Ozuna']],Dile Que Tu Me Quieres,False,73
0.433,0.431,-6.422,0.0367,0.169,0.0,0.307,0.722,177.732,63bmZnBN1CiJ9sA4qTEe8y,199320,[['Christian Nodal']],Adiós Amor,False,77
0.746,0.585,-5.937,0.0491,0.168,0.0,0.264,0.948,182.018,37kCg5izHEMZ66xGdMVG5L,259240,[['Raymix']],Oye Mujer,False,69
0.777,0.911,-3.223,0.173,0.246,0.0,0.257,0.704,96.017,1rXojdsUqqxGj2WCmJGWHP,238813,[['Wisin']],Vacaciones,False,65
0.775,0.679,-4.985,0.135,0.18,7.26e-05,0.068,0.619,166.008,3Ga6eKrUFf12ouh9Yw3v2D,193456,"[['Anitta', 'J Balvin']]",Downtown,False,72
0.814,0.813,-3.023,0.0561,0.03,9.33e-05,0.255,0.839,79.997,6Za3190Sbw39BBC77WSS1C,232550,"[['Natti Natasha', 'Ozuna']]",Criminal,False,75
0.878,0.555,-7.301,0.0343,0.77,0.0,0.0663,0.928,132.936,6IfMD01z39P15HKezjdaMP,191107,[['Juan Luis Guerra 4.40']],Bachata En Fukuoka,False,67
0.479,0.477,-6.886,0.0363,0.127,0.0,0.15,0.127,151.97,5kIcrM3QVD4BQPFMszQnU1,288893,[['Jesse & Joy']],¡Corre!,False,71
0.705,0.8,-8.332,0.123,0.0474,1.5e-06,0.448,0.48,156.109,4zK05ecddIq3vfd08Aqi8y,192307,[['Ivy Queen']],La Vida Es Así,False,60
0.749,0.418,-7.925,0.0587,0.985,0.000126,0.0832,0.307,147.887,68QcquxCS39cQGTsRrJWIR,153887,[['Bad Bunny']],Amorfoda,True,77
0.704,0.69,-5.451,0.16,0.249,0.0,0.123,0.402,144.045,5LVoGJTyG6fLJgoGkY2QAZ,271080,"[['Chris Jedi', 'J Balvin', 'Ozuna', 'Arcangel']]",Ahora Dice,False,1
0.852,0.773,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,6mICuAdrwEjh6Y6lroV2Kg,195840,"[['Shakira', 'Maluma']]",Chantaje (feat. Maluma),False,78
0.617,0.888,-4.567,0.0402,0.0705,0.0,0.162,0.771,130.97,7M6CFruBrM5x7u0lTMtm6r,240560,[['Morat']],Cómo Te Atreves,False,74
0.709,0.483,-3.734,0.0281,0.219,2.33e-06,0.241,0.834,123.566,45sVRPegWSGpIcsrDoaaCY,234198,[['La Adictiva Banda San José de Mesillas']],En Peligro de Extinción,False,9
0.698,0.865,-4.083,0.0418,0.0316,0.0,0.307,0.969,130.004,3FeMpPPhGRKieT8zmlJDQz,195240,"[['Juan Magán', 'Pitbull', 'El Cata']]",Bailando por el Mundo (feat. Pitbull & El Cata),False,55
0.585,0.643,-8.392,0.0395,0.201,0.000306,0.144,0.592,152.98,3lGMtkONrZdJ8kTCg6KIFf,221800,[['Natalia Lafourcade']],Hasta la Raíz,False,81
0.764,0.739,-6.422,0.0574,0.403,0.0,0.0821,0.77,132.995,0jr6tT2vc4cIFPHb6wufG3,252253,"[['Romeo Santos', 'Usher']]",Promise (feat. Usher),False,69
0.746,0.7,-4.669,0.341,0.136,0.000159,0.11,0.619,176.044,1Ej96GIBCTvgH7tNX1r3qr,225933,"[['Sech', 'Darell']]",Otro Trago,True,72
0.899,0.626,-4.228,0.292,0.076,0.0,0.0631,0.873,88.007,7gcMKL3lnDxsp4bIXyv6Zk,234320,[['Daddy Yankee']],Shaky Shaky,False,65
0.807,0.803,-4.156,0.126,0.602,0.00853,0.136,0.706,91.987,5W83ErFkO3aKAIS1WMi6u0,258800,"[['Anuel AA', 'KAROL G']]",Secreto,False,77
0.707,0.908,-2.903,0.0582,0.134,0.0,0.111,0.546,104.888,1uwPEGzopXl9KawQR1JGXq,244353,"[['Alejandro Sanz', 'Marc Anthony']]",Deja Que Te Bese,False,68
0.857,0.561,-7.288,0.0292,0.435,0.0,0.0831,0.76,99.989,3YmA3gZqlXl0MkwhkVKxRy,272576,"[['Maná', 'Shakira']]",Mi Verdad (feat. Shakira),False,71
0.767,0.709,-4.47,0.336,0.323,0.0,0.0676,0.72,171.993,6FyRXC8tJUh863JCkyWqtk,258639,[['Paulo Londra']],Adan y Eva,False,72
0.781,0.553,-4.598,0.0454,0.622,1.61e-06,0.0832,0.832,145.06,1O18MtSAMUk7JfAVB8gGzs,190773,[['Banda MS de Sergio Lizárraga']],Háblame De Ti,False,72
0.749,0.637,-6.924,0.0764,0.308,0.0,0.0878,0.798,99.951,18mmN3VrFWRi6SsSBJf6WJ,234373,[['Pablo Alborán']],Pasos de cero,False,66
0.909,0.493,-6.688,0.0735,0.128,0.000147,0.127,0.844,94.016,3xcCix7Jv1Rp90YVmgo35D,197120,[['Wolfine']],Bella,False,1
0.394,0.475,-7.935,0.028,0.0251,0.00749,0.112,0.441,129.995,4skuEIloXWuxxgekKupkEH,278547,[['Mon Laferte']],Tu Falta De Querer,False,76
0.724,0.646,-6.475,0.0352,0.072,0.000157,0.0923,0.957,112.019,3GSMdtJphymHEsR8K9jT5Q,177600,[['León Larregui']],Locos,False,74
0.792,0.895,-3.112,0.0589,0.165,0.0,0.0501,0.794,94.968,4QtiVmuA88tPQiCOHZuQ5b,201526,"[['Sofía Reyes', 'Jason Derulo', 'De La Ghetto']]","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",False,78
