danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,audio_features,3AhXZa8sUQht0UEdBJgpGc,spotify:track:3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/tracks/3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/audio-analysis/3AhXZa8sUQht0UEdBJgpGc,369600,4
0.485,0.863,1,-9.027,1,0.0495,1.22e-05,0.0162,0.138,0.767,116.835,audio_features,3oTlkzk1OtrhH8wBAduVEi,spotify:track:3oTlkzk1OtrhH8wBAduVEi,https://api.spotify.com/v1/tracks/3oTlkzk1OtrhH8wBAduVEi,https://api.spotify.com/v1/audio-analysis/3oTlkzk1OtrhH8wBAduVEi,300977,4
0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,audio_features,3ZFBeIyP41HhnALjxWy1pR,spotify:track:3ZFBeIyP41HhnALjxWy1pR,https://api.spotify.com/v1/tracks/3ZFBeIyP41HhnALjxWy1pR,https://api.spotify.com/v1/audio-analysis/3ZFBeIyP41HhnALjxWy1pR,337413,4
0.398,0.413,1,-10.934,1,0.0388,0.0822,2.54e-05,0.0891,0.331,133.574,audio_features,5Qt4Cc66g24QWwGP3YYV9y,spotify:track:5Qt4Cc66g24QWwGP3YYV9y,https://api.spotify.com/v1/tracks/5Qt4Cc66g24QWwGP3YYV9y,https://api.spotify.com/v1/audio-analysis/5Qt4Cc66g24QWwGP3YYV9y,219147,4
0.518,0.756,10,-10.851,1,0.0915,0.735,6.2e-05,0.317,0.968,166.429,audio_features,7MH2ZclofPlTrZOkPzZKhK,spotify:track:7MH2ZclofPlTrZOkPzZKhK,https://api.spotify.com/v1/tracks/7MH2ZclofPlTrZOkPzZKhK,https://api.spotify.com/v1/audio-analysis/7MH2ZclofPlTrZOkPzZKhK,160893,4
0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,audio_features,7s25THrKz86DM225dOYwnr,spotify:track:7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/tracks/7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/audio-analysis/7s25THrKz86DM225dOYwnr,147600,4
0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,audio_features,2G2YzndIA6jeWFPBXhUjh5,spotify:track:2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/tracks/2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/audio-analysis/2G2YzndIA6jeWFPBXhUjh5,160907,4
0.282,0.716,1,-9.632,0,0.0985,0.451,0.0,0.399,0.83,201.958,audio_features,0UAu4pJ44T9X2AmaUh1hHO,spotify:track:0UAu4pJ44T9X2AmaUh1hHO,https://api.spotify.com/v1/tracks/0UAu4pJ44T9X2AmaUh1hHO,https://api.spotify.com/v1/audio-analysis/0UAu4pJ44T9X2AmaUh1hHO,233000,4
0.729,0.324,8,-13.017,0,0.0393,0.195,0.0,0.101,0.679,116.855,audio_features,27m1soUndRthrAA1ediOXn,spotify:track:27m1soUndRthrAA1ediOXn,https://api.spotify.com/v1/tracks/27m1soUndRthrAA1ediOXn,https://api.spotify.com/v1/audio-analysis/27m1soUndRthrAA1ediOXn,195267,4
0.725,0.853,2,-7.842,1,0.0353,0.0348,0.127,0.196,0.904,136.282,audio_features,7fSGbZLhWlAiCC3HDPAULu,spotify:track:7fSGbZLhWlAiCC3HDPAULu,https://api.spotify.com/v1/tracks/7fSGbZLhWlAiCC3HDPAULu,https://api.spotify.com/v1/audio-analysis/7fSGbZLhWlAiCC3HDPAULu,222813,4
0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
0.688,0.223,4,-11.476,1,0.0619,0.849,2.1e-06,0.0974,0.701,93.551,audio_features,3T99MhhnbWTqo0Bj5lyuP8,spotify:track:3T99MhhnbWTqo0Bj5lyuP8,https://api.spotify.com/v1/tracks/3T99MhhnbWTqo0Bj5lyuP8,https://api.spotify.com/v1/audio-analysis/3T99MhhnbWTqo0Bj5lyuP8,128040,4
0.253,0.868,4,-9.773,1,0.073,0.0511,0.0,0.214,0.68,146.647,audio_features,4mC6yZvp9zfzp21IuLAPGD,spotify:track:4mC6yZvp9zfzp21IuLAPGD,https://api.spotify.com/v1/tracks/4mC6yZvp9zfzp21IuLAPGD,https://api.spotify.com/v1/audio-analysis/4mC6yZvp9zfzp21IuLAPGD,269200,4
0.332,0.822,0,-6.558,0,0.0988,0.165,9.33e-05,0.161,0.745,96.253,audio_features,6UdCTwbVAvNqbWyZKZiRWL,spotify:track:6UdCTwbVAvNqbWyZKZiRWL,https://api.spotify.com/v1/tracks/6UdCTwbVAvNqbWyZKZiRWL,https://api.spotify.com/v1/audio-analysis/6UdCTwbVAvNqbWyZKZiRWL,197320,4
0.443,0.956,2,-6.198,1,0.0511,5.24e-05,0.825,0.135,0.909,146.754,audio_features,2JO3HwMRPeya8bXbtbyPcf,spotify:track:2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/tracks/2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/audio-analysis/2JO3HwMRPeya8bXbtbyPcf,206867,4
0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072,audio_features,6iGU74CwXuT4XVepjc9Emf,spotify:track:6iGU74CwXuT4XVepjc9Emf,https://api.spotify.com/v1/tracks/6iGU74CwXuT4XVepjc9Emf,https://api.spotify.com/v1/audio-analysis/6iGU74CwXuT4XVepjc9Emf,173040,4
0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,audio_features,4Y4Gd3ty8uut6Qw43c7yJc,spotify:track:4Y4Gd3ty8uut6Qw43c7yJc,https://api.spotify.com/v1/tracks/4Y4Gd3ty8uut6Qw43c7yJc,https://api.spotify.com/v1/audio-analysis/4Y4Gd3ty8uut6Qw43c7yJc,166827,4
0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505,audio_features,5WQ1hIc5d2EVbRQ8qsj8Uh,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,https://api.spotify.com/v1/tracks/5WQ1hIc5d2EVbRQ8qsj8Uh,https://api.spotify.com/v1/audio-analysis/5WQ1hIc5d2EVbRQ8qsj8Uh,235213,4
0.359,0.949,0,-7.649,1,0.101,0.0556,0.000396,0.236,0.212,134.118,audio_features,3JS4Guc7Hld2JomrBybQIt,spotify:track:3JS4Guc7Hld2JomrBybQIt,https://api.spotify.com/v1/tracks/3JS4Guc7Hld2JomrBybQIt,https://api.spotify.com/v1/audio-analysis/3JS4Guc7Hld2JomrBybQIt,212480,4
0.541,0.854,2,-6.196,1,0.155,0.0254,0.000125,0.651,0.454,86.044,audio_features,5QlGALr14YMN0xIDmIwleg,spotify:track:5QlGALr14YMN0xIDmIwleg,https://api.spotify.com/v1/tracks/5QlGALr14YMN0xIDmIwleg,https://api.spotify.com/v1/audio-analysis/5QlGALr14YMN0xIDmIwleg,205200,4
