,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,clusters,id,artist,song_title
0,0.438,0.188,-16.355,0.036,0.994,0.905,0.111,0.181,79.393,225977,0,0,12,3XAIVxLS42fJHNWrkbn0SM,['Notepad Music'],Waltz C Sharp Minor Op. 64 No. 2
1,0.683,0.634,-4.532,0.0377,0.614,0.0,0.0853,0.546,120.026,307129,0,0,11,31QR935rFUPlondTVPvSpk,"['Artistas Unidos', 'soria records']","Cochabamba, Mi Hermosa Ciudad"
2,0.621,0.86,-7.78,0.0491,0.749,0.0,0.0771,0.708,120.395,201987,0,17,11,1ToBT0RwZlcNRwveJ6AQmy,['Soldatenchor Ginsberger Heide'],Märkische Heide
3,0.257,0.807,-6.287,0.0621,9.25e-06,0.943,0.222,0.629,137.165,148027,0,17,7,7lIZR0JtYJLrkXqpRtpX3U,"['Isobel Campbell', 'Mark Lanegan']",Hawk
4,0.434,0.543,-6.016,0.0278,0.0526,0.676,0.168,0.344,203.873,129437,0,0,7,53d94Fd3wlD3UboSm2fAGu,['Day Bit'],got a lot to do
5,0.493,0.697,-11.144,0.05,0.00694,0.00396,0.18,0.79,141.587,187382,0,7,11,1OO4np3zmnmyp9FCVX03dK,['Long Tall Ernie & The Shakers'],Kiss Me Baby
6,0.848,0.393,-11.878,0.0512,0.677,0.00141,0.117,0.426,124.022,154972,1,59,0,4e7xKz1L43jWSSP7dwdOqY,['Night Lovell'],BUMBLE BEE
7,0.935,0.398,-10.164,0.127,0.0727,0.00636,0.0619,0.652,95.03,145773,0,2,11,7yjM3dks21Kgvzu76A58YN,['The Encouragement Kid'],Peace in This Mo
8,0.757,0.918,-3.33,0.0791,0.00507,0.0284,0.0625,0.797,123.003,277073,0,28,11,7DPYlEU3tY0bFNK2gii9fi,"['Crazibiza', 'Zsak', 'Victoria Richard']",Get Funky
9,0.801,0.783,-4.193,0.327,0.244,0.0,0.0902,0.695,94.648,144000,0,48,8,6motja4C4U6oCgtojBTyCI,['HoodCelebrityy'],Run Di Road
10,0.374,0.147,-12.798,0.0346,0.933,1.07e-05,0.245,0.359,77.45,256711,0,3,6,7vQGAUF6LDqyQ4lDRwZCWa,['Charity Children'],Give Us the Pleasure That Comes with Sleep Then
11,0.672,0.793,-5.973,0.0414,0.00509,0.0192,0.16,0.946,129.915,80453,1,63,0,2MXmDDnh2RWzfWINMsFgNA,['Cheese People'],Wake Up
12,0.713,0.676,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048,227395,0,84,1,5zFglKYiknIxks8geR8rcL,"['Maroon 5', 'Megan Thee Stallion']",Beautiful Mistakes (feat. Megan Thee Stallion)
13,0.496,0.769,-2.695,0.327,0.0104,0.0,0.112,0.124,139.517,137147,1,36,4,0a3Ate4GM8CsHuybAYNcga,['Detonation_on_the_beat'],Look at Me - Remix
14,0.236,0.257,-15.503,0.0339,0.816,0.951,0.183,0.0648,81.528,160762,0,9,12,3C0zc2g7XS4bL0w6BRM0j7,['John Robert Matz'],The Burning Forest
15,0.699,0.906,-8.396,0.058,0.00253,0.884,0.0738,0.096,142.994,297103,0,13,10,76pmSaEKGN9XuprqbB1KLt,['Antidota'],Deep Breath
16,0.576,0.863,-4.245,0.0491,0.000457,0.000593,0.0763,0.4,95.081,184253,0,33,1,5pxL3QTr6OBveQbHcG3nYa,['In Flames'],Siren Charms
17,0.392,0.501,-9.01,0.0437,0.982,0.874,0.238,0.322,113.782,779587,0,1,2,5GUsyumrjcsMiRjYQiG9MQ,"['Gustav Mahler', 'Orchestra Sinfonica Di Torino Della Rai', 'Sir John Barbirolli']",Symphony No. 9 in D Major: III. Rondo-Burleske. Allegro assai. Sehr trotzig (Live)
18,0.309,0.947,-2.896,0.0659,0.0711,0.000368,0.334,0.138,144.802,238748,0,0,9,0FjfgKo2ZOTK5Shz59qHeP,['Accursed Ordnance'],Persist Past Altar of Darkness
19,0.578,0.986,-3.584,0.0815,8.59e-05,1.76e-05,0.0217,0.593,104.979,167493,0,16,11,4NwI88otPtGMbFJz1FJZsA,['Lie and a Chameleon'],yamikuro
20,0.377,0.145,-13.314,0.0396,0.917,0.0,0.162,0.518,184.447,197446,0,27,6,0noNaf25LeljP7PktZLB8W,"['Covers Culture', 'Acoustic Covers Culture', 'Lounge Covers Culture Of Popular Songs']",Perfect - Acoustic Covers Versions of Popular Songs
21,0.738,0.248,-18.928,0.941,0.0556,0.000183,0.258,0.285,87.763,191728,0,0,8,4Trfpvw1gbWEHnPbfSYIIC,['Christopher Glyn'],Chapter 38.2 & Chapter 39.1 - 24. Jeremiah
