,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,popularity,clusters,id,artist,song_title
0,0.482,0.721,-6.839,0.0321,0.731,0.0,0.189,0.557,95.263,0,71,0,3XAIVxLS42fJHNWrkbn0SM,['Notepad Music'],Waltz C Sharp Minor Op. 64 No. 2
1,0.485,0.863,-9.027,0.0495,1.22e-05,0.0162,0.138,0.767,116.835,0,0,3,31QR935rFUPlondTVPvSpk,"['Artistas Unidos', 'soria records']","Cochabamba, Mi Hermosa Ciudad"
2,0.364,0.457,-14.162,0.0675,0.29,0.000106,0.922,0.175,163.219,0,0,5,1ToBT0RwZlcNRwveJ6AQmy,['Soldatenchor Ginsberger Heide'],Märkische Heide
3,0.398,0.413,-10.934,0.0388,0.0822,2.54e-05,0.0891,0.331,133.574,0,23,8,7lIZR0JtYJLrkXqpRtpX3U,"['Isobel Campbell', 'Mark Lanegan']",Hawk
4,0.518,0.756,-10.851,0.0915,0.735,6.2e-05,0.317,0.968,166.429,0,0,3,53d94Fd3wlD3UboSm2fAGu,['Day Bit'],got a lot to do
5,0.805,0.558,-5.226,0.041,0.164,2.2e-05,0.0546,0.965,114.95,0,73,0,1OO4np3zmnmyp9FCVX03dK,['Long Tall Ernie & The Shakers'],Kiss Me Baby
6,0.511,0.769,-7.032,0.042,0.181,0.0,0.0921,0.818,129.657,0,69,0,4e7xKz1L43jWSSP7dwdOqY,['Night Lovell'],BUMBLE BEE
7,0.282,0.716,-9.632,0.0985,0.451,0.0,0.399,0.83,201.958,0,0,1,7yjM3dks21Kgvzu76A58YN,['The Encouragement Kid'],Peace in This Mo
8,0.729,0.324,-13.017,0.0393,0.195,0.0,0.101,0.679,116.855,0,0,3,7DPYlEU3tY0bFNK2gii9fi,"['Crazibiza', 'Zsak', 'Victoria Richard']",Get Funky
9,0.725,0.853,-7.842,0.0353,0.0348,0.127,0.196,0.904,136.282,0,0,3,6motja4C4U6oCgtojBTyCI,['HoodCelebrityy'],Run Di Road
10,0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,0,84,0,7vQGAUF6LDqyQ4lDRwZCWa,['Charity Children'],Give Us the Pleasure That Comes with Sleep Then
11,0.688,0.223,-11.476,0.0619,0.849,2.1e-06,0.0974,0.701,93.551,0,0,8,2MXmDDnh2RWzfWINMsFgNA,['Cheese People'],Wake Up
12,0.253,0.868,-9.773,0.073,0.0511,0.0,0.214,0.68,146.647,0,0,1,5zFglKYiknIxks8geR8rcL,"['Maroon 5', 'Megan Thee Stallion']",Beautiful Mistakes (feat. Megan Thee Stallion)
