song_name,artist_name,id
Jimmy Cooks,Drake,3F5CgOj3wFlRv51JsHbxhe
As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7
First Class,Jack Harlow,1rDQ4oMwGJI7B4tovsBOxc
Wait For U,Future,59nOXPmaKlBfGMDeOVGrIK
About Damn Time,Lizzo,1PckUlxKqWQs3RlWXVBLw3
Sticky,Drake,4rmVZajAF7PkrCagGPHbqa
Falling Back,Drake,1vbn9fEyw1IYhqgZJdu9ZB
Glimpse Of Us,Joji,6xGruZOHLs39ZbVccQTuPZ
Running Up That Hill (A Deal With God),Kate Bush,29d0nY7TzCoi22XBqDQkiP
Heat Waves,Glass Animals,3USxtqRwSYz57Ewm6wWRMp
Me Porto Bonito,Bad Bunny,6Sq7ltF9Qa7SNFBsV5Cogx
Big Energy,Latto,6Zu3aw7FfjAF9WA0fA81Oq
Texts Go Green,Drake,4FIgHqXd4KkOwxrGeLDYM2
Massive,Drake,28JBD8p18xNuOfyV7Cotdn
Break My Soul,Beyonce,2KukL7UlQ8TdvpaA7bY3ZJ
Titi Me Pregunto,Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ
Wasted On You,Morgan Wallen,3cBsEDNhFI9E82vPj3kvi3
The Kind Of Love We Make,Luke Combs,28n8z9IQKyjMPxmvYMBqZa
Stay,The Kid LAROI,5HCyWlXZPP0y6Gqq8TgA20
Calling My Name,Drake,7sT7kZEYd1MrmzLLIRVZas
A Keeper,Drake,0nAZGkBGKQCXyaoSJfRhC1
I Like You (A Happier Song),Post Malone,0O6u0VJ46W86TxN9wgyqDj
Currents,Drake,1eCFz60zd7mAXgWLapPd9B
Late Night Talking,Harry Styles,1qEmFfgcLObUfQm0j1W2CK
Boyfriend,Dove Cameron,59CfNbkERJ3NoTXDvoURjj
Ghost,Justin Bieber,6I3mqTwhRpn34SLVafSH7G
Numb Little Bug,Em Beihold,3o9kpgkIcffx0iSwxhuNI2
Flight's Booked,Drake,6Yj7Zhxt73uvwFFvzQXdxO
Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d
Enemy,Imagine Dragons,1r9xUipOqoNwggBpENDsvJ
Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb
Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO
Sunroof,Nicky Youre,4h4QlmocP3IuwYEj2j14p8
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4
Cold Heart (PNAU Remix),Elton John,6zSpb8dQRaw0M1dK8PBwQz
Bam Bam,Camila Cabello,0QBzMgT7NIeoCYy3sJCof1
Thats What I Want,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO
Super Gremlin,Kodak Black,4A8cWXxKfIL3lAyUDzXbCF
Shivers,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5
Provenza,Karol G,7dSZ6zGTQx66c2GF91xCrb
You Proof,Morgan Wallen,5uU1uuyaUIBOiiUSQG7Wl3
Overdrive,Drake,7hRlTK3mgFTBEjX7DjqBsI
Take My Name,Parmalee,2afB4eV1KWBqLqFqME6PTh
Sweetest Pie,Megan Thee Stallion,7mFj0LlWtEJaEigguaWqYh
Efecto,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx
Like I Love Country Music,Kane Brown,3j1xkzTW8owIphkWV51V9s
Liability,Drake,2vy9Ry1TNjCD85TiCbTz0r
AA,Walker Hayes,77oKig47u34qCCFWKMfu1e
Thousand Miles,The Kid LAROI,1r8ZCjfrQxoy2wVaBUbpwg
