,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.46,0.934,-3.63,0.0563,0.00359,0.8,0.0813,0.0593,174.986,3ycmwIg5ObpQSA87FdQTEc,319871
1,0.367,0.913,-3.813,0.0411,0.00262,0.12,0.122,0.169,173.904,5MexmPWHh8caUNsEAPpVfE,170647
2,0.584,0.984,-3.784,0.0661,0.000294,0.848,0.103,0.0363,174.036,2nhXa36Brkshn9JsKAUXfj,259581
3,0.589,0.819,-7.274,0.0536,0.0245,0.925,0.0732,0.269,171.95,6vXDQKtSroYmx3nBREUWAL,295839
4,0.585,0.872,-4.758,0.0562,0.011,0.85,0.345,0.441,174.03,0nbx6fZRO8Mizg0Sp8tE42,333393
5,0.668,0.608,-6.678,0.0782,0.047,0.0271,0.104,0.0864,172.048,0AC7jvTAg7uSJBAnf0KVoa,249767
6,0.441,0.952,-3.742,0.0435,0.000609,0.407,0.963,0.185,173.99,5YAbtAsLp2GZ6Jdlr9FTUA,254056
7,0.438,0.915,-3.831,0.0411,0.00171,0.793,0.074,0.0433,174.016,0cvxGtA2GcmiB1YXKEqosQ,229781
8,0.347,0.78,-6.651,0.0718,0.0153,0.00254,0.118,0.219,173.995,4xqbNnW45Qr11tfyGpRT9j,263739
9,0.453,0.877,-3.153,0.0355,0.00158,0.902,0.0779,0.0347,171.98,59yeSrtTfW0yV6uwgwzbal,298455
10,0.685,0.947,-7.343,0.0515,0.00104,0.884,0.0865,0.0398,172.0,7n5mZ74qyTJ8xQH66IxsCc,357209
11,0.698,0.654,-6.334,0.0965,0.00121,0.886,0.171,0.253,171.97,5ByYzKoaHPUh3cWYO4fahu,312882
12,0.276,0.865,-2.233,0.178,0.000583,0.00118,0.56,0.271,174.039,4CDTHGXvoZTFGGT9yjDMn6,292414
13,0.254,0.717,-5.623,0.0665,0.143,0.0772,0.129,0.102,173.742,7LKm8GVnMcDMXfDyhVcODr,278000
14,0.459,0.789,-6.403,0.0348,0.296,0.95,0.104,0.151,174.025,51coyjFM2iecFNv9fWoZmt,270345
15,0.443,0.928,-3.687,0.0486,0.000844,0.843,0.11,0.18,173.871,5oJZ28mJZAsQXB7yTXS3Xe,317105
16,0.512,0.826,-4.072,0.0325,0.000959,0.00206,0.238,0.0399,87.506,1nRH5X3LqSj3tJmOjjCN1w,269943
17,0.416,0.912,-5.259,0.0426,0.000272,0.0286,0.199,0.0829,173.992,2YbpRcRomPCdnChIcgQo0D,249919
18,0.614,0.924,-2.772,0.0661,0.413,0.00261,0.365,0.604,175.123,06A15nSgFGTMSH1NT4PSgt,183031
19,0.43,0.937,-4.241,0.0434,0.074,0.884,0.104,0.12,174.042,2OHV9DHKdLIJxI5NW8ew7I,228700
20,0.527,0.923,-5.008,0.0414,0.00128,0.794,0.411,0.287,173.974,4K7c0QbdrAiXyV3TSxq5e9,297847
21,0.672,0.958,-3.644,0.0528,0.000654,0.838,0.0707,0.455,174.001,4ZbddnJFInDFO51tPgmnGW,318239
22,0.501,0.774,-4.805,0.0356,0.000633,0.765,0.0849,0.101,174.009,4ofMM6SzN4JSKFvEhTdObw,251047
23,0.521,0.916,-3.249,0.0463,0.000229,0.5,0.0545,0.0849,173.995,2UTOWXK3ZxBT7oviB4dMsH,353471
24,0.478,0.926,-3.807,0.0412,0.0568,0.901,0.0788,0.0351,176.01,4fakvi035bhPOzg6TCONKF,228657
25,0.35,0.954,-3.44,0.0407,8.89e-05,0.321,0.0802,0.193,173.926,4RFOjJjQ0Y4Nrz0PNzjLtc,312853
26,0.288,0.849,-3.853,0.0451,0.000821,0.334,0.104,0.037,174.027,1qipdDyJNJhpBVuMPmdSHK,305747
27,0.408,0.945,-2.92,0.0396,0.000535,0.893,0.0716,0.078,174.053,6G5yZex64bnBcyYHZrnRx6,300690
28,0.668,0.959,-2.815,0.0565,0.0291,0.866,0.161,0.317,171.976,2PQ7sNc3zgSqXovkPk72M2,291982
29,0.536,0.919,-2.526,0.0374,0.000403,0.819,0.34,0.255,174.022,0Me1TVXnyI1jfmhF1bfpys,295372
30,0.582,0.797,-7.109,0.0391,0.0269,0.00388,0.104,0.0982,87.008,3ibmC5moJJlwWiGemklkfc,297964
31,0.49,0.723,-7.238,0.0411,0.00967,0.112,0.0557,0.0869,173.926,1DkxkKR7SV8HK5XSDD2avg,243138
32,0.525,0.803,-6.983,0.0419,0.000803,0.801,0.0773,0.0396,174.028,0wmqvQ89YlKaBNU2QdjLKp,308924
33,0.538,0.842,-5.642,0.0383,0.0268,0.00119,0.137,0.163,86.999,1n8kM2bDiAqGZZYCtOL98u,252433
34,0.691,0.784,-7.132,0.0715,0.00518,0.863,0.11,0.663,174.039,1Ba54Gccn79EITSTFRq3dp,295057
35,0.493,0.822,-6.938,0.0462,0.0531,0.00289,0.0471,0.0929,173.953,6bYQbb97dKdLHrBQF54EBO,298322
36,0.212,0.466,-10.203,0.043,0.157,0.938,0.0756,0.0398,174.015,49HUYZr8iU0amj1DlMbRqk,346929
37,0.616,0.709,-8.984,0.048,0.0558,0.804,0.0717,0.142,87.011,2MgzjTW4ZNSI7tTxoheIe1,318240
38,0.469,0.908,-3.17,0.0345,0.0134,8.35e-05,0.22,0.351,174.09,1kXENS7Y2WsnkxBT2Qqj0M,254634
39,0.459,0.878,-2.633,0.0318,0.00088,0.0967,0.0832,0.167,174.014,7H7AUeAy7rTG0fCCa1cGtm,217931
40,0.661,0.78,-5.352,0.0546,0.0681,0.851,0.18,0.0668,174.005,3FKHPk807KtTYigTRBTZZR,291890
41,0.63,0.666,-5.372,0.0533,0.000846,0.808,0.118,0.156,174.987,7bk2Up4X6DulSlh2u0hqUb,356259
42,0.532,0.776,-5.23,0.0352,0.0401,0.603,0.107,0.264,172.999,0V631M5IQskXiu7uwyjW4y,305869
43,0.399,0.883,-4.635,0.0358,0.00286,0.92,0.119,0.216,174.007,5qdIhKIvz9x5wdoQivZeqP,254634
44,0.699,0.704,-6.056,0.0674,0.482,0.946,0.0987,0.2,174.03,14j7o6HXLrf19sBBLwW8q3,252153
45,0.516,0.631,-6.036,0.0472,0.0609,0.563,0.328,0.0788,173.988,336b2OagiAyVIlaCcmHhQ9,318795
46,0.611,0.758,-12.22,0.0659,0.0625,0.74,0.0647,0.0399,174.933,3R9b1PpbmKKZ24rJpRnX5X,284138
47,0.551,0.618,-8.034,0.0606,0.00169,0.39,0.0813,0.0756,174.021,07BwnbP2BneDO02imOLSIY,291715
48,0.472,0.89,-5.237,0.0482,0.00026,0.842,0.168,0.119,174.021,7zckXyvE4mKz7DuTNNljWD,316085
49,0.508,0.912,-3.586,0.0646,0.00324,0.727,0.222,0.0377,174.978,2NOwLCih7YmU7A5IEwmJZe,343057
50,0.47,0.95,-4.483,0.0529,0.0097,0.527,0.0799,0.0593,173.064,4hgr3Zc3GhGaoq9CWxv1I2,286476
51,0.527,0.833,-2.659,0.0403,0.00207,0.894,0.117,0.0574,172.036,4eyAaMXvMgURdvRpiyFlCb,301595
52,0.37,0.968,-3.802,0.0406,0.000552,0.0474,0.367,0.489,174.022,71FqG9HDiaihGUd7ECJwle,204214
53,0.35,0.832,-3.497,0.0418,3.1e-05,0.227,0.0691,0.081,173.888,6fYl5gwptm9smgU76YtevY,329188
54,0.551,0.786,-5.021,0.0337,0.00441,0.0538,0.109,0.356,87.001,4PDHIlIWGWoyvADVDU7SXa,215143
55,0.463,0.921,-3.189,0.0414,0.00364,0.775,0.314,0.038,174.009,0NA91HgDBh4sZXAEcc6S5Y,253993
56,0.497,0.927,-2.772,0.0502,0.00434,0.00148,0.113,0.563,173.98,0laSPpzgD2rNatLXQwTyM2,237284
