,0
0,dark pop
1,baltimore indie
2,none
3,none
4,afrobeat
5,swedish indie pop
6,vintage schlager
7,none
8,lounge
9,none
10,hard rock
11,none
12,none
13,volksmusik
14,alternative country
15,contemporary jazz
16,melodic dubstep
17,none
18,indie soul
19,electropop
20,none
21,souldies
22,australian pop
23,go-go
24,none
25,none
26,drum and bass
27,post-disco soul
28,french indie pop
29,minimal techno
30,none
31,chill r&b
32,none
33,drum and bass
34,none
35,none
36,none
37,bristol electronic
38,none
39,none
40,pop
41,study beats
42,britpop
43,berlin school
44,float house
45,hip hop
46,none
47,azontobeats
48,traditional blues
49,none
50,house
51,nottingham indie
52,bubblegrunge
53,none
54,jump up
55,none
56,none
57,electronica
58,lo-fi beats
59,drum and bass
60,none
61,none
62,belgian techno
63,hungarian classical performance
64,none
65,melodic techno
66,none
67,none
68,electronica
69,none
70,disco
71,none
72,none
73,none
74,none
75,none
76,russian indie rock
77,none
78,etherpop
79,none
80,pop dance
81,none
82,none
83,folk-pop
84,traprun
85,liquid funk
86,dance pop
87,crunk
88,none
89,minimal tech house
90,none
91,none
92,french synthpop
93,none
94,vintage chanson
95,trap beats
96,none
97,drumfunk
98,hard stoner rock
99,spacesynth
100,none
101,none
102,none
103,east coast hip hop
104,latin pop
105,electronica
106,indie soul
107,complextro
108,none
109,progressive house
110,none
111,none
112,violin
113,classical
114,none
115,choro
116,afro house
117,none
118,hip house
119,deep liquid bass
120,none
121,none
122,romanian electronic
123,chicago house
124,indie quebecois
125,none
126,none
127,organic house
128,brill building pop
129,rock en espanol
130,pagode
131,none
132,new isolationism
133,none
134,none
135,early modern classical
136,orchestral soundtrack
137,ambient techno
138,none
139,none
140,melodic techno
141,none
142,pop r&b
143,none
144,none
145,none
146,italian techno
147,latin hip hop
148,lounge
149,none
150,none
151,none
152,liquid funk
153,shiver pop
154,none
155,melodic techno
156,italian techno
157,indie rock
158,none
159,blues
160,liquid funk
161,none
162,none
163,pop rap
164,saxophone trio
165,none
166,outsider house
167,big band
168,nu metal
169,none
170,minimal techno
171,glam metal
172,deep dnb
173,progressive trance
174,none
175,none
176,art pop
