,0
0,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M?si=V2SBvVUBQk-uQFK0B4_m-g
1,https://open.spotify.com/playlist/31ymdYCITDnZRtkKzP3Itp?si=zcrpuq8ZTtORizQ_qp6A2Q
2,https://open.spotify.com/playlist/0cc8YMQWsSzODyTpdVB6mI?si=9yqPAYxOQWSUGdciFrlwmQ
3,https://open.spotify.com/playlist/37i9dQZF1DX5hHfOi73rY3?si=H4kyx2VcRg-s-7Vv0VyAmg
4,https://open.spotify.com/playlist/37i9dQZF1DXa71eg5j9dKZ?si=LuBADdZmRtCoE2EGLkrvDg
5,https://open.spotify.com/playlist/4kw9kdjzx1UmyWvpysl0y2?si=oKNBmKnARYq63LSIhLRVEg
6,https://open.spotify.com/playlist/1xNWydoMmA8210KeHU948w?si=gxQGCd8-ST2yRndr1Jnqbg
7,https://open.spotify.com/playlist/6vDGVr652ztNWKZuHvsFvx?si=CG-9WHSNSnCcvjun-FIZcQ
8,https://open.spotify.com/playlist/6J1r02xyO2qkMA9dDNZytJ?si=Jq8cQLM8SXqes4-GjUfLbQ
9,https://open.spotify.com/playlist/5wtqmpRl17iVz2nW8U6njL?si=a6OrlWz2TpSxx0kZe0qz5Q
10,https://open.spotify.com/playlist/0NCspsyf0OS4BsPgGhkQXM?si=q3-EeUn8TyqB76NWCo5f4A
11,https://open.spotify.com/playlist/19y0UVk0bcrJWEqMwBHosj?si=NCONWErkRwqIWWgcdXcGlQ
12,https://open.spotify.com/playlist/4oOZJEq1TBUti6PSouTo5M?si=ujIcjZt6Ra6gCI1EmrBwaw
13,https://open.spotify.com/playlist/068WHS0zOWsqvn2uIBYb5D?si=1qCNDz_VRc6BOJ6dVoi0YQ
14,https://open.spotify.com/playlist/6ZTpgxK6BT92mmsqwETj9l?si=J3RjMnwETZWVo19R2GqBEQ
15,https://open.spotify.com/playlist/37i9dQZF1DWSvKsRPPnv5o?si=a1l7-m82SrydXTuDeQoF3w
16,https://open.spotify.com/playlist/37i9dQZF1DXe4Cw8IKKIvr?si=gKt17ZcoQf-XGKbLsL1pXw
17,https://open.spotify.com/playlist/37i9dQZF1DXcDoDDetPsEg?si=WSueYYfBTKSaz-FvBmwzaA
18,https://open.spotify.com/playlist/65xSncKQzG6Suseh5gfYP1?si=I-nI_ninTDG8B5x-Nds4dQ
19,https://open.spotify.com/playlist/0MSCX9tZWQmitMQsfhvZIl?si=_3K39CXbSqqu5bpJHNx5Tw
20,https://open.spotify.com/playlist/1PmwMQY86pJuAm7veFt3u2?si=PxWvPRlYSP2_IBs6iScVcA
21,https://open.spotify.com/playlist/6wjCvkAFovrVIRM8VfZLZG?si=udwUDSOFQ3mFXxsU2EiCJw
22,https://open.spotify.com/playlist/37i9dQZF1DWVV27DiNWxkR?si=tvLZfZuHRxqXETbdvTSFrA
23,https://open.spotify.com/playlist/37i9dQZF1DWVzZlRWgqAGH
24,https://open.spotify.com/playlist/37i9dQZF1DXc8kgYqQLMfH?si=eqj7iCOARUmU5rOraLmc8Q
25,https://open.spotify.com/playlist/31FWVQBp3WQydWLNhO0ACi?si=N4YUADwBTHCBiFrksHpf6Q
26,https://open.spotify.com/playlist/37i9dQZF1DXa9wYJr1oMFq?si=SO8kSU_IRPGhO1gmV_Uhjw
27,https://open.spotify.com/playlist/37i9dQZF1DX8FwnYE6PRvL?si=afapwXM1SX-hIWb6pkUeLA
28,
29,
